generator,fixture,seed,options,verified,distinct,adjacency,deviation,compactness,circulation,stacking,vertical,envelope_fit,daylight,t_gen,t_realise
treemap,three_rooms,0,1,1,1,1.0,0.179,0.9281,0.0,0.0,1.0,0.0,1.0,0.0,0.319
treemap,three_rooms,1,1,1,1,1.0,0.1668,0.9273,0.0,0.0,1.0,0.0,1.0,0.0,0.136
treemap,three_rooms,2,1,1,1,1.0,0.1764,0.928,0.0,0.0,1.0,0.0,1.0,0.0,0.139
treemap,three_rooms,3,1,1,1,1.0,0.161,0.9265,0.0,0.0,1.0,0.0,1.0,0.0,0.136
treemap,three_rooms,4,1,1,1,1.0,0.1753,0.928,0.0,0.0,1.0,0.0,1.0,0.0,0.136
treemap,eight_rooms_corridor,0,1,1,1,0.3333,0.2977,0.8242,0.2483,0.0,1.0,0.0,1.0,0.0,0.392
treemap,eight_rooms_corridor,1,1,1,1,0.3333,0.3035,0.8259,0.2483,0.0,1.0,0.0,1.0,0.0,0.385
treemap,eight_rooms_corridor,2,1,1,1,0.3333,0.3101,0.8274,0.2483,0.0,1.0,0.0,1.0,0.0,0.386
treemap,eight_rooms_corridor,3,1,1,1,0.3333,0.2995,0.8247,0.2483,0.0,1.0,0.0,1.0,0.0,0.396
treemap,eight_rooms_corridor,4,1,1,1,0.3333,0.3374,0.83,0.2483,0.0,1.0,0.0,1.0,0.0,0.389
treemap,two_levels_stair,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605
treemap,two_levels_stair,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59
treemap,two_levels_stair,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591
treemap,two_levels_stair,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594
treemap,two_levels_stair,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592
beam,three_rooms,0,8,8,7,1.0,0.0,0.8549,0.0,0.0,1.0,0.0,1.0,0.098,1.642
beam,three_rooms,1,8,8,8,1.0,0.0,0.8514,0.0,0.0,1.0,0.0,1.0,0.036,1.707
beam,three_rooms,2,8,8,6,1.0,0.0,0.8663,0.0,0.0,1.0,0.0,1.0,0.038,1.659
beam,three_rooms,3,8,8,8,1.0,0.0,0.8439,0.0,0.0,1.0,0.0,1.0,0.035,1.742
beam,three_rooms,4,8,8,8,1.0,0.0,0.8624,0.0,0.0,1.0,0.0,1.0,0.037,1.735
beam,eight_rooms_corridor,0,8,8,8,1.0,0.0071,0.7291,0.2956,0.0,1.0,0.0,1.0,2.464,4.214
beam,eight_rooms_corridor,1,8,8,8,1.0,0.0028,0.7396,0.2669,0.0,1.0,0.0,1.0,2.495,4.111
beam,eight_rooms_corridor,2,8,8,8,1.0,0.0,0.7431,0.2483,0.0,1.0,0.0,1.0,2.51,4.247
beam,eight_rooms_corridor,3,8,8,8,1.0,0.0107,0.7249,0.3199,0.0,1.0,0.0,1.0,2.604,4.009
beam,eight_rooms_corridor,4,8,8,8,1.0,0.0145,0.7626,0.2553,0.0,1.0,0.0,1.0,2.535,3.885
beam,two_levels_stair,0,8,8,8,1.0,0.0027,0.8447,0.882,0.8162,1.0,0.2991,1.0,4.6,6.067
beam,two_levels_stair,1,8,8,8,1.0,0.008,0.8359,0.882,0.8214,1.0,0.2991,1.0,4.482,6.11
beam,two_levels_stair,2,8,8,8,1.0,0.0144,0.8526,0.882,0.7751,1.0,0.2991,1.0,4.642,5.789
beam,two_levels_stair,3,8,8,8,1.0,0.0,0.8294,0.882,0.75,1.0,0.2991,1.0,6.243,6.005
beam,two_levels_stair,4,8,8,8,1.0,0.0107,0.8648,0.882,0.8333,1.0,0.2991,1.0,4.609,6.234
